['pVA3495_4', 'pVA791_75']
['pVA418_110', 'pVA418_180']
['pVA418_110', 'pVA418_38']
['pVA418_110', 'pVA418_56']
['pVA418_110', 'pVA436_0.1']
['pVA418_110', 'pVA436_1']
['pVA418_110', 'pVA436_2_A']
['pVA418_110', 'pVA436_2_B']
['pVA418_110', 'pVA436_41']
['pVA418_110', 'pVA436_52']
['pVA418_110', 'pVA436_54']
['pVA418_110', 'pVA524_189']
['pVA418_110', 'pVA524_199']
['pVA418_110', 'pVA524_46']
['pVA418_110', 'pVA524_4_A']
['pVA418_110', 'pVA524_4_B']
['pVA418_110', 'pVA524_58']
['pVA418_110', 'pVA524_5']
['pVA418_110', 'pVA527_214']
['pVA418_110', 'pVA527_3']
['pVA418_110', 'pVA527_45']
['pVA418_110', 'pVA527_58']
['pVA418_110', 'pVA528_281']
['pVA418_110', 'pVA528_2']
['pVA418_110', 'pVA528_44']
['pVA418_110', 'pVA528_96']
['pVA418_110', 'pVA544_3']
['pVA418_110', 'pVA544_51']
['pVA418_110', 'pVA544_8']
['pVA418_110', 'pVA569_107']
['pVA418_110', 'pVA569_47']
['pVA418_110', 'pVA569_68']
['pVA418_110', 'pVA585_226']
['pVA418_110', 'pVA585_53']
['pVA418_110', 'pVA605_296']
['pVA418_110', 'pVA605_65']
['pVA418_110', 'pVA605_91']
['pVA418_110', 'pVA61_126']
['pVA418_110', 'pVA61_57']
['pVA418_110', 'pVA634_102']
['pVA418_110', 'pVA634_25']
['pVA418_110', 'pVA634_271']
['pVA418_110', 'pVA634_2']
['pVA418_110', 'pVA634_3']
['pVA418_110', 'pVA634_4']
['pVA418_110', 'pVA634_54']
['pVA418_110', 'pVA634_6']
['pVA418_110', 'pVA634_75']
['pVA418_110', 'pVA692_270']
['pVA418_110', 'pVA692_2']
['pVA418_110', 'pVA692_45']
['pVA418_110', 'pVA692_4']
['pVA418_110', 'pVA754_184']
['pVA418_110', 'pVA754_27']
['pVA418_110', 'pVA754_3']
['pVA418_110', 'pVA754_4']
['pVA418_110', 'pVA754_57']
['pVA418_110', 'pVA754_5']
['pVA418_110', 'pVA754_9']
['pVA418_110', 'pVA765_0.7']
['pVA418_110', 'pVA765_1_A']
['pVA418_110', 'pVA765_1_B']
['pVA418_110', 'pVA765_275']
['pVA418_110', 'pVA765_45']
['pVA418_110', 'pVA765_4_A']
['pVA418_110', 'pVA765_4_B']
['pVA418_110', 'pVA765_72']
['pVA418_110', 'pVA765_74']
['pVA418_110', 'pVA767_225']
['pVA418_110', 'pVA767_46']
['pVA418_110', 'pVA767_57']
['pVA418_110', 'pVA791_17']
['pVA418_110', 'pVA791_270']
['pVA418_110', 'pVA791_4']
['pVA418_110', 'pVA791_57']
['pVA418_110', 'pVA791_75']
['pVA418_180', 'pVA418_38']
['pVA418_180', 'pVA418_56']
['pVA418_180', 'pVA436_0.1']
['pVA418_180', 'pVA436_1']
['pVA418_180', 'pVA436_2_A']
['pVA418_180', 'pVA436_2_B']
['pVA418_180', 'pVA436_41']
['pVA418_180', 'pVA436_52']
['pVA418_180', 'pVA436_54']
['pVA418_180', 'pVA524_189']
['pVA418_180', 'pVA524_199']
['pVA418_180', 'pVA524_46']
['pVA418_180', 'pVA524_4_A']
['pVA418_180', 'pVA524_4_B']
['pVA418_180', 'pVA524_58']
['pVA418_180', 'pVA524_5']
['pVA418_180', 'pVA527_214']
['pVA418_180', 'pVA527_3']
['pVA418_180', 'pVA527_45']
['pVA418_180', 'pVA527_58']
['pVA418_180', 'pVA528_281']
['pVA418_180', 'pVA528_2']
['pVA418_180', 'pVA528_44']
['pVA418_180', 'pVA528_96']
['pVA418_180', 'pVA544_3']
['pVA418_180', 'pVA544_51']
['pVA418_180', 'pVA544_8']
['pVA418_180', 'pVA569_107']
['pVA418_180', 'pVA569_47']
['pVA418_180', 'pVA569_68']
['pVA418_180', 'pVA585_226']
['pVA418_180', 'pVA585_53']
['pVA418_180', 'pVA605_296']
['pVA418_180', 'pVA605_65']
['pVA418_180', 'pVA605_91']
['pVA418_180', 'pVA61_126']
['pVA418_180', 'pVA61_57']
['pVA418_180', 'pVA634_102']
['pVA418_180', 'pVA634_25']
['pVA418_180', 'pVA634_271']
['pVA418_180', 'pVA634_2']
['pVA418_180', 'pVA634_3']
['pVA418_180', 'pVA634_4']
['pVA418_180', 'pVA634_54']
['pVA418_180', 'pVA634_6']
['pVA418_180', 'pVA634_75']
['pVA418_180', 'pVA692_270']
['pVA418_180', 'pVA692_2']
['pVA418_180', 'pVA692_45']
['pVA418_180', 'pVA692_4']
['pVA418_180', 'pVA754_184']
['pVA418_180', 'pVA754_27']
['pVA418_180', 'pVA754_3']
['pVA418_180', 'pVA754_4']
['pVA418_180', 'pVA754_57']
['pVA418_180', 'pVA754_5']
['pVA418_180', 'pVA754_9']
['pVA418_180', 'pVA765_0.7']
['pVA418_180', 'pVA765_1_A']
['pVA418_180', 'pVA765_1_B']
['pVA418_180', 'pVA765_275']
['pVA418_180', 'pVA765_45']
['pVA418_180', 'pVA765_4_A']
['pVA418_180', 'pVA765_4_B']
['pVA418_180', 'pVA765_72']
['pVA418_180', 'pVA765_74']
['pVA418_180', 'pVA767_225']
['pVA418_180', 'pVA767_46']
['pVA418_180', 'pVA767_57']
['pVA418_180', 'pVA791_17']
['pVA418_180', 'pVA791_270']
['pVA418_180', 'pVA791_4']
['pVA418_180', 'pVA791_57']
['pVA418_180', 'pVA791_75']
['pVA418_38', 'pVA418_56']
['pVA418_38', 'pVA436_0.1']
