	Plasmid	Block_ID	Start	End
pVA1393_58~pVA1686_57	pVA1393_58	1	1	768
	pVA1393_58	2	768	1455
	pVA1393_58	2	1362	2124
	pVA1393_58	3	2124	32630
	pVA1393_58	4	32650	39339
	pVA1393_58	5	39360	58136
	pVA1686_57	1	1	768
	pVA1686_57	2	768	1528
	pVA1686_57	3	1528	32034
	pVA1686_57	-4	32055	38744
	pVA1686_57	5	38765	57541
pVA1393_58~pVA1722_58	pVA1393_58	1	1	32629
	pVA1393_58	2	32650	39339
	pVA1393_58	3	39360	58136
	pVA1722_58	1	1	32666
	pVA1722_58	-2	32687	39376
	pVA1722_58	3	39397	58173
pVA1393_58~pVA1825_57	pVA1393_58	1	1	768
	pVA1393_58	2	768	1455
	pVA1393_58	2	1362	2124
	pVA1393_58	3	2124	32630
	pVA1393_58	4	32650	39339
	pVA1393_58	5	39360	58136
	pVA1825_57	1	1	768
	pVA1825_57	2	768	1528
	pVA1825_57	3	1528	32034
	pVA1825_57	-4	32055	38744
	pVA1825_57	5	38765	57541
pVA1393_58~pVA1835_58_B	pVA1393_58	1	1	32629
	pVA1393_58	2	32650	39339
	pVA1393_58	3	39360	58136
	pVA1835_58_B	1	1	32629
	pVA1835_58_B	-2	32650	39339
	pVA1835_58_B	3	39360	58136
pVA1393_58~pVA436_52	pVA1393_58	1	1	7568
	pVA1393_58	2	7568	8815
	pVA1393_58	6	8815	13033
	pVA1393_58	2	13033	14281
	pVA1393_58	3	14281	32629
	pVA1393_58	4	32650	39339
	pVA1393_58	5	39360	58136
	pVA436_52	1	1	7568
	pVA436_52	2	7568	8815
	pVA436_52	3	8815	27163
	pVA436_52	-4	27184	33873
	pVA436_52	5	33894	52670
pVA1393_58~pVA524_58	pVA1393_58	1	1	32629
	pVA1393_58	2	32650	39339
	pVA1393_58	3	39360	58136
	pVA524_58	1	1	32626
	pVA524_58	-2	32647	39336
	pVA524_58	3	39357	58133
pVA1393_58~pVA527_58	pVA1393_58	1	1	1049
	pVA1393_58	2	1050	6535
	pVA1393_58	2	1154	6647
	pVA1393_58	3	6647	32650
	pVA1393_58	4	32629	39360
	pVA1393_58	5	39339	58136
	pVA527_58	1	1	1143
	pVA527_58	2	1158	6536
	pVA527_58	3	6536	32651
	pVA527_58	-4	32630	39361
	pVA527_58	5	39340	58137
pVA1393_58~pVA528_44	pVA1393_58	1	1	768
	pVA1393_58	2	768	1042
	pVA1393_58	2	1101	1452
	pVA1393_58	3	1102	1455
	pVA1393_58	3	1511	2126
	pVA1393_58	4	2126	3249
	pVA1393_58	8	3249	16370
	pVA1393_58	5	16370	32629
	pVA1393_58	6	32650	39339
	pVA1393_58	7	39360	58136
	pVA528_44	1	1	768
	pVA528_44	2	768	1118
	pVA528_44	3	1177	1528
	pVA528_44	4	1528	2651
	pVA528_44	5	2659	18921
	pVA528_44	-6	18942	25631
	pVA528_44	7	25652	44428
pVA1393_58~pVA544_3	pVA1393_58	2	1	36527
	pVA1393_58	1	36527	36861
	pVA1393_58	3	36861	58136
	pVA544_3	-1	1	335
pVA1393_58~pVA544_8	pVA1393_58	4	1	32385
	pVA1393_58	1	32385	32629
	pVA1393_58	5	32629	32948
	pVA1393_58	2	32948	36527
	pVA1393_58	6	36527	36861
	pVA1393_58	3	36861	39339
	pVA1393_58	7	39339	58136
	pVA544_8	3	1	2479
	pVA544_8	-1	2500	2744
	pVA544_8	8	2744	4895
	pVA544_8	2	4895	8474
pVA1393_58~pVA585_53	pVA1393_58	1	1	768
	pVA1393_58	2	768	1026
	pVA1393_58	8	1026	1661
	pVA1393_58	2	1661	1993
	pVA1393_58	3	1993	4606
	pVA1393_58	9	4606	7568
	pVA1393_58	4	7568	8815
	pVA1393_58	10	8815	13033
	pVA1393_58	4	13033	14281
	pVA1393_58	5	14281	32629
	pVA1393_58	6	32650	39339
	pVA1393_58	7	39360	58136
	pVA585_53	1	1	768
	pVA585_53	2	768	1100
	pVA585_53	3	1100	3639
	pVA585_53	13	3639	8337
	pVA585_53	4	8337	9584
	pVA585_53	5	9584	27932
	pVA585_53	-6	27953	34642
	pVA585_53	7	34663	53437
pVA1393_58~pVA61_57	pVA1393_58	1	1	768
	pVA1393_58	2	768	1455
	pVA1393_58	2	1362	2124
	pVA1393_58	3	2124	32630
	pVA1393_58	4	32650	39339
	pVA1393_58	5	39360	58136
	pVA61_57	1	1	768
	pVA61_57	2	768	1528
	pVA61_57	3	1528	32034
	pVA61_57	-4	32055	38744
	pVA61_57	5	38765	57541
pVA1393_58~pVA754_57	pVA1393_58	1	1	772
	pVA1393_58	2	772	1287
	pVA1393_58	6	1287	1553
	pVA1393_58	2	1553	2067
	pVA1393_58	3	2067	32629
	pVA1393_58	4	32650	39339
	pVA1393_58	5	39360	58136
	pVA754_57	1	1	772
	pVA754_57	2	772	1285
	pVA754_57	3	1285	31847
	pVA754_57	-4	31868	38557
	pVA754_57	5	38578	57354
pVA1393_58~pVA765_1_B	pVA1393_58	2	1	13147
	pVA1393_58	1	13147	14281
	pVA1393_58	3	14281	58136
	pVA765_1_B	1	1	1135
pVA1393_58~pVA765_4_B	pVA1393_58	2	1	8815
	pVA1393_58	1	8815	10969
	pVA1393_58	3	10969	58136
	pVA765_4_B	4	1	2070
	pVA765_4_B	-1	2070	4224
pVA1393_58~pVA767_57	pVA1393_58	1	1	768
	pVA1393_58	2	768	1026
	pVA1393_58	6	1026	1735
	pVA1393_58	2	1735	2067
	pVA1393_58	3	2067	32629
	pVA1393_58	4	32650	39339
	pVA1393_58	5	39360	58136
	pVA767_57	1	1	768
	pVA767_57	2	768	1063
	pVA767_57	3	1063	31625
	pVA767_57	-4	31646	38335
	pVA767_57	5	38356	57132
pVA1393_58~pVA791_57	pVA1393_58	1	1	768
	pVA1393_58	2	768	1026
	pVA1393_58	6	1026	1772
	pVA1393_58	2	1772	2067
	pVA1393_58	3	2067	32629
	pVA1393_58	4	32650	39339
	pVA1393_58	5	39360	58136
	pVA791_57	1	1	768
	pVA791_57	2	768	1063
	pVA791_57	3	1063	31625
	pVA791_57	-4	31646	38335
	pVA791_57	5	38356	57132
pVA1393_9~pVA1788_21	pVA1393_9	1	1	5632
	pVA1393_9	2	5637	9295
	pVA1788_21	3	1	8555
	pVA1788_21	-1	8555	14185
	pVA1788_21	-2	14185	17843
	pVA1788_21	4	17843	21594
pVA1393_9~pVA2464_5	pVA1393_9	2	1	2419
	pVA1393_9	1	2419	5329
	pVA1393_9	3	5329	9295
	pVA2464_5	4	1	565
	pVA2464_5	-1	565	3463
	pVA2464_5	5	3463	5724
pVA1393_9~pVA2589_21	pVA1393_9	1	1	5632
	pVA1393_9	2	5637	9295
	pVA2589_21	3	1	8549
	pVA2589_21	-1	8549	14179
	pVA2589_21	-2	14179	17837
	pVA2589_21	4	17837	21588
pVA1393_9~pVA2682_9	pVA1393_9	1	1	4742
	pVA1393_9	2	4742	9295
	pVA2682_9	2	1	4554
	pVA2682_9	1	4554	9295
