plasmid_1	plasmid_2	distance
pIH290_0.23	pIH290_0.28	1.0
pIH290_0.23	pIH290_0.3	1.0
pIH290_0.23	pIH290_3	1.0
pIH290_0.23	pIH290_60	1.0
pIH290_0.23	pIH290_6	1.0
pIH290_0.23	pIH290_7	1.0
pIH290_0.23	pIH290_84	0.0
pIH290_0.23	pIH359_178	0.0
pIH290_0.23	pIH359_23	0.0
pIH290_0.23	pIH359_36	1.0
pIH290_0.23	pIH359_51	0.0
pIH290_0.23	pIH359_5	1.0
pIH290_0.23	pIH359_74	1.0
pIH290_0.23	pReSeq_VA61_10	1.0
pIH290_0.23	pReSeq_VA61_126_A	1.0
pIH290_0.23	pReSeq_VA61_126_B	1.0
pIH290_0.23	pReSeq_VA61_1	1.0
pIH290_0.23	pReSeq_VA61_41	0.0
pIH290_0.23	pReSeq_VA61_4	1.0
pIH290_0.23	pVA1046_199	0.0
pIH290_0.23	pVA1046_41	1.0
pIH290_0.23	pVA1046_46	1.0
pIH290_0.23	pVA1046_5	1.0
pIH290_0.23	pVA1101_139	1.0
pIH290_0.23	pVA1101_21	1.0
pIH290_0.23	pVA1101_2	1.0
pIH290_0.23	pVA1101_40	1.0
pIH290_0.23	pVA1101_4	1.0
pIH290_0.23	pVA1101_5	1.0
pIH290_0.23	pVA1184_286	0.0
pIH290_0.23	pVA1184_82	1.0
pIH290_0.23	pVA1393_45	1.0
pIH290_0.23	pVA1393_58	0.0
pIH290_0.23	pVA1393_9	1.0
pIH290_0.23	pVA1505_2	1.0
pIH290_0.23	pVA1505_371	1.0
pIH290_0.23	pVA1505_46	1.0
pIH290_0.23	pVA1505_61	0.0
pIH290_0.23	pVA1565_200	0.0
pIH290_0.23	pVA1565_35	1.0
pIH290_0.23	pVA1565_46	1.0
pIH290_0.23	pVA1565_5	1.0
pIH290_0.23	pVA1626_171	1.0
pIH290_0.23	pVA1626_271	1.0
pIH290_0.23	pVA1626_2	1.0
pIH290_0.23	pVA1626_45	1.0
pIH290_0.23	pVA1626_4	1.0
pIH290_0.23	pVA1626_57	0.0
pIH290_0.23	pVA1626_87	0.0
pIH290_0.23	pVA1686_122	1.0
pIH290_0.23	pVA1686_2	1.0
pIH290_0.23	pVA1686_54	1.0
pIH290_0.23	pVA1686_57	0.0
pIH290_0.23	pVA1722_375	1.0
pIH290_0.23	pVA1722_46	1.0
pIH290_0.23	pVA1722_58	0.0
pIH290_0.23	pVA1788_21	0.0
pIH290_0.23	pVA1788_53	0.0
pIH290_0.23	pVA1788_57	1.0
pIH290_0.23	pVA1825_122	1.0
pIH290_0.23	pVA1825_2	1.0
pIH290_0.23	pVA1825_54	1.0
pIH290_0.23	pVA1825_57	0.0
pIH290_0.23	pVA1835_14	1.0
pIH290_0.23	pVA1835_189	1.0
pIH290_0.23	pVA1835_363	1.0
pIH290_0.23	pVA1835_4	1.0
pIH290_0.23	pVA1835_58_A	1.0
pIH290_0.23	pVA1835_58_B	0.0
pIH290_0.23	pVA1835_6	1.0
pIH290_0.23	pVA2067_271	1.0
pIH290_0.23	pVA2067_2	1.0
pIH290_0.23	pVA2067_45	1.0
pIH290_0.23	pVA2067_4	1.0
pIH290_0.23	pVA2464_160	1.0
pIH290_0.23	pVA2464_46	1.0
pIH290_0.23	pVA2464_5	1.0
pIH290_0.23	pVA2464_7	1.0
pIH290_0.23	pVA2588_5	1.0
pIH290_0.23	pVA2588_87	0.0
pIH290_0.23	pVA2589_21	0.0
pIH290_0.23	pVA2589_86	0.0
pIH290_0.23	pVA2589_99	0.0
pIH290_0.23	pVA2682_199	0.0
pIH290_0.23	pVA2682_52	0.0
pIH290_0.23	pVA2682_9	1.0
pIH290_0.23	pVA2817_112	0.0
pIH290_0.23	pVA2817_162	1.0
pIH290_0.23	pVA2817_1	1.0
pIH290_0.23	pVA2817_210	1.0
pIH290_0.23	pVA2817_5	1.0
pIH290_0.23	pVA2817_6	1.0
pIH290_0.23	pVA3495_148	1.0
pIH290_0.23	pVA3495_29	1.0
pIH290_0.23	pVA3495_318	1.0
pIH290_0.23	pVA3495_43	0.0
pIH290_0.23	pVA3495_4	1.0
pIH290_0.23	pVA418_110	0.0
pIH290_0.23	pVA418_180	1.0
pIH290_0.23	pVA418_38	1.0
pIH290_0.23	pVA418_56	1.0
pIH290_0.23	pVA436_0.1	1.0
pIH290_0.23	pVA436_1	1.0
pIH290_0.23	pVA436_2_A	1.0
pIH290_0.23	pVA436_2_B	1.0
pIH290_0.23	pVA436_41	1.0
pIH290_0.23	pVA436_52	0.0
pIH290_0.23	pVA436_54	1.0
pIH290_0.23	pVA524_189	1.0
pIH290_0.23	pVA524_199	1.0
pIH290_0.23	pVA524_46	1.0
pIH290_0.23	pVA524_4_A	1.0
pIH290_0.23	pVA524_4_B	1.0
pIH290_0.23	pVA524_58	0.0
pIH290_0.23	pVA524_5	1.0
pIH290_0.23	pVA527_214	0.0
pIH290_0.23	pVA527_3	1.0
pIH290_0.23	pVA527_45	1.0
pIH290_0.23	pVA527_58	0.0
pIH290_0.23	pVA528_281	0.0
pIH290_0.23	pVA528_2	1.0
pIH290_0.23	pVA528_44	0.0
pIH290_0.23	pVA528_96	1.0
pIH290_0.23	pVA544_3	1.0
pIH290_0.23	pVA544_51	0.0
pIH290_0.23	pVA544_8	0.0
pIH290_0.23	pVA569_107	0.0
pIH290_0.23	pVA569_47	1.0
pIH290_0.23	pVA569_68	1.0
pIH290_0.23	pVA585_226	1.0
pIH290_0.23	pVA585_53	0.0
pIH290_0.23	pVA605_296	0.0
pIH290_0.23	pVA605_65	1.0
pIH290_0.23	pVA605_91	1.0
pIH290_0.23	pVA61_126	1.0
pIH290_0.23	pVA61_57	0.0
pIH290_0.23	pVA634_102	0.0
pIH290_0.23	pVA634_25	1.0
pIH290_0.23	pVA634_271	1.0
pIH290_0.23	pVA634_2	1.0
pIH290_0.23	pVA634_3	1.0
pIH290_0.23	pVA634_4	1.0
pIH290_0.23	pVA634_54	1.0
pIH290_0.23	pVA634_6	1.0
pIH290_0.23	pVA634_75	0.0
pIH290_0.23	pVA692_270	0.0
pIH290_0.23	pVA692_2	1.0
pIH290_0.23	pVA692_45	1.0
pIH290_0.23	pVA692_4	1.0
pIH290_0.23	pVA754_184	1.0
pIH290_0.23	pVA754_27	1.0
pIH290_0.23	pVA754_3	1.0
pIH290_0.23	pVA754_4	1.0
pIH290_0.23	pVA754_57	0.0
pIH290_0.23	pVA754_5	1.0
pIH290_0.23	pVA754_9	1.0
pIH290_0.23	pVA765_0.7	1.0
pIH290_0.23	pVA765_1_A	1.0
pIH290_0.23	pVA765_1_B	1.0
pIH290_0.23	pVA765_275	0.0
pIH290_0.23	pVA765_45	1.0
pIH290_0.23	pVA765_4_A	1.0
pIH290_0.23	pVA765_4_B	1.0
pIH290_0.23	pVA765_72	1.0
pIH290_0.23	pVA765_74	1.0
pIH290_0.23	pVA767_225	1.0
pIH290_0.23	pVA767_46	1.0
pIH290_0.23	pVA767_57	0.0
pIH290_0.23	pVA791_17	1.0
pIH290_0.23	pVA791_270	0.0
pIH290_0.23	pVA791_4	1.0
pIH290_0.23	pVA791_57	0.0
pIH290_0.23	pVA791_75	1.0
pIH290_0.28	pIH290_0.3	1.0
pIH290_0.28	pIH290_3	1.0
pIH290_0.28	pIH290_60	1.0
pIH290_0.28	pIH290_6	1.0
pIH290_0.28	pIH290_7	1.0
pIH290_0.28	pIH290_84	0.0
pIH290_0.28	pIH359_178	0.010676156583629859
pIH290_0.28	pIH359_23	0.0
pIH290_0.28	pIH359_36	1.0
pIH290_0.28	pIH359_51	0.010676156583629859
pIH290_0.28	pIH359_5	1.0
pIH290_0.28	pIH359_74	1.0
pIH290_0.28	pReSeq_VA61_10	1.0
pIH290_0.28	pReSeq_VA61_126_A	1.0
pIH290_0.28	pReSeq_VA61_126_B	1.0
pIH290_0.28	pReSeq_VA61_1	1.0
pIH290_0.28	pReSeq_VA61_41	0.0
pIH290_0.28	pReSeq_VA61_4	1.0
pIH290_0.28	pVA1046_199	0.010676156583629859
pIH290_0.28	pVA1046_41	1.0
pIH290_0.28	pVA1046_46	1.0
pIH290_0.28	pVA1046_5	1.0
pIH290_0.28	pVA1101_139	0.0
pIH290_0.28	pVA1101_21	1.0
pIH290_0.28	pVA1101_2	1.0
pIH290_0.28	pVA1101_40	1.0
pIH290_0.28	pVA1101_4	1.0
pIH290_0.28	pVA1101_5	1.0
pIH290_0.28	pVA1184_286	0.010676156583629859
pIH290_0.28	pVA1184_82	1.0
pIH290_0.28	pVA1393_45	1.0
pIH290_0.28	pVA1393_58	0.0
pIH290_0.28	pVA1393_9	1.0
pIH290_0.28	pVA1505_2	1.0
pIH290_0.28	pVA1505_371	1.0
pIH290_0.28	pVA1505_46	1.0
pIH290_0.28	pVA1505_61	0.0
pIH290_0.28	pVA1565_200	0.010676156583629859
pIH290_0.28	pVA1565_35	1.0
pIH290_0.28	pVA1565_46	1.0
pIH290_0.28	pVA1565_5	1.0
pIH290_0.28	pVA1626_171	1.0
pIH290_0.28	pVA1626_271	1.0
pIH290_0.28	pVA1626_2	1.0
pIH290_0.28	pVA1626_45	1.0
pIH290_0.28	pVA1626_4	1.0
pIH290_0.28	pVA1626_57	0.0
pIH290_0.28	pVA1626_87	1.0
pIH290_0.28	pVA1686_122	1.0
pIH290_0.28	pVA1686_2	1.0
pIH290_0.28	pVA1686_54	1.0
pIH290_0.28	pVA1686_57	0.0
pIH290_0.28	pVA1722_375	1.0
pIH290_0.28	pVA1722_46	1.0
pIH290_0.28	pVA1722_58	0.0
pIH290_0.28	pVA1788_21	0.0
pIH290_0.28	pVA1788_53	0.010676156583629859
pIH290_0.28	pVA1788_57	1.0
pIH290_0.28	pVA1825_122	1.0
pIH290_0.28	pVA1825_2	1.0
pIH290_0.28	pVA1825_54	1.0
pIH290_0.28	pVA1825_57	0.0
pIH290_0.28	pVA1835_14	1.0
pIH290_0.28	pVA1835_189	1.0
pIH290_0.28	pVA1835_363	1.0
pIH290_0.28	pVA1835_4	1.0
pIH290_0.28	pVA1835_58_A	1.0
pIH290_0.28	pVA1835_58_B	0.0
pIH290_0.28	pVA1835_6	1.0
pIH290_0.28	pVA2067_271	1.0
pIH290_0.28	pVA2067_2	1.0
pIH290_0.28	pVA2067_45	1.0
pIH290_0.28	pVA2067_4	1.0
pIH290_0.28	pVA2464_160	1.0
pIH290_0.28	pVA2464_46	1.0
pIH290_0.28	pVA2464_5	1.0
pIH290_0.28	pVA2464_7	1.0
pIH290_0.28	pVA2588_5	1.0
pIH290_0.28	pVA2588_87	1.0
pIH290_0.28	pVA2589_21	0.0
pIH290_0.28	pVA2589_86	0.010676156583629859
pIH290_0.28	pVA2589_99	1.0
pIH290_0.28	pVA2682_199	0.010676156583629859
pIH290_0.28	pVA2682_52	0.0
pIH290_0.28	pVA2682_9	1.0
pIH290_0.28	pVA2817_112	1.0
pIH290_0.28	pVA2817_162	1.0
pIH290_0.28	pVA2817_1	1.0
pIH290_0.28	pVA2817_210	1.0
pIH290_0.28	pVA2817_5	1.0
pIH290_0.28	pVA2817_6	1.0
pIH290_0.28	pVA3495_148	1.0
pIH290_0.28	pVA3495_29	1.0
pIH290_0.28	pVA3495_318	1.0
pIH290_0.28	pVA3495_43	0.0
pIH290_0.28	pVA3495_4	1.0
pIH290_0.28	pVA418_110	1.0
pIH290_0.28	pVA418_180	1.0
pIH290_0.28	pVA418_38	1.0
pIH290_0.28	pVA418_56	1.0
pIH290_0.28	pVA436_0.1	1.0
pIH290_0.28	pVA436_1	1.0
pIH290_0.28	pVA436_2_A	1.0
pIH290_0.28	pVA436_2_B	1.0
pIH290_0.28	pVA436_41	1.0
pIH290_0.28	pVA436_52	0.0
pIH290_0.28	pVA436_54	1.0
pIH290_0.28	pVA524_189	1.0
pIH290_0.28	pVA524_199	1.0
pIH290_0.28	pVA524_46	1.0
pIH290_0.28	pVA524_4_A	1.0
pIH290_0.28	pVA524_4_B	1.0
pIH290_0.28	pVA524_58	0.0
pIH290_0.28	pVA524_5	1.0
pIH290_0.28	pVA527_214	1.0
pIH290_0.28	pVA527_3	1.0
pIH290_0.28	pVA527_45	1.0
pIH290_0.28	pVA527_58	0.0
pIH290_0.28	pVA528_281	0.010676156583629859
pIH290_0.28	pVA528_2	1.0
pIH290_0.28	pVA528_44	0.0
pIH290_0.28	pVA528_96	1.0
pIH290_0.28	pVA544_3	1.0
pIH290_0.28	pVA544_51	0.010676156583629859
pIH290_0.28	pVA544_8	1.0
pIH290_0.28	pVA569_107	0.0
pIH290_0.28	pVA569_47	1.0
pIH290_0.28	pVA569_68	1.0
pIH290_0.28	pVA585_226	1.0
pIH290_0.28	pVA585_53	0.0
pIH290_0.28	pVA605_296	0.010676156583629859
pIH290_0.28	pVA605_65	1.0
pIH290_0.28	pVA605_91	1.0
pIH290_0.28	pVA61_126	1.0
pIH290_0.28	pVA61_57	0.0
pIH290_0.28	pVA634_102	1.0
pIH290_0.28	pVA634_25	1.0
pIH290_0.28	pVA634_271	1.0
pIH290_0.28	pVA634_2	1.0
pIH290_0.28	pVA634_3	1.0
pIH290_0.28	pVA634_4	1.0
pIH290_0.28	pVA634_54	1.0
pIH290_0.28	pVA634_6	1.0
pIH290_0.28	pVA634_75	0.0
pIH290_0.28	pVA692_270	0.010676156583629859
pIH290_0.28	pVA692_2	1.0
pIH290_0.28	pVA692_45	1.0
pIH290_0.28	pVA692_4	1.0
pIH290_0.28	pVA754_184	1.0
pIH290_0.28	pVA754_27	1.0
pIH290_0.28	pVA754_3	1.0
pIH290_0.28	pVA754_4	1.0
pIH290_0.28	pVA754_57	0.0
pIH290_0.28	pVA754_5	1.0
pIH290_0.28	pVA754_9	1.0
pIH290_0.28	pVA765_0.7	1.0
pIH290_0.28	pVA765_1_A	1.0
pIH290_0.28	pVA765_1_B	1.0
pIH290_0.28	pVA765_275	0.010676156583629859
pIH290_0.28	pVA765_45	1.0
pIH290_0.28	pVA765_4_A	1.0
pIH290_0.28	pVA765_4_B	1.0
pIH290_0.28	pVA765_72	1.0
pIH290_0.28	pVA765_74	1.0
pIH290_0.28	pVA767_225	1.0
pIH290_0.28	pVA767_46	1.0
pIH290_0.28	pVA767_57	0.0
pIH290_0.28	pVA791_17	1.0
pIH290_0.28	pVA791_270	0.010676156583629859
pIH290_0.28	pVA791_4	1.0
pIH290_0.28	pVA791_57	0.0
pIH290_0.28	pVA791_75	1.0
pIH290_0.3	pIH290_3	1.0
pIH290_0.3	pIH290_60	1.0
pIH290_0.3	pIH290_6	1.0
pIH290_0.3	pIH290_7	1.0
pIH290_0.3	pIH290_84	0.0
pIH290_0.3	pIH359_178	0.0
pIH290_0.3	pIH359_23	1.0
pIH290_0.3	pIH359_36	1.0
pIH290_0.3	pIH359_51	0.0
pIH290_0.3	pIH359_5	1.0
pIH290_0.3	pIH359_74	1.0
pIH290_0.3	pReSeq_VA61_10	1.0
pIH290_0.3	pReSeq_VA61_126_A	1.0
pIH290_0.3	pReSeq_VA61_126_B	1.0
pIH290_0.3	pReSeq_VA61_1	1.0
pIH290_0.3	pReSeq_VA61_41	0.0
pIH290_0.3	pReSeq_VA61_4	1.0
pIH290_0.3	pVA1046_199	0.0
pIH290_0.3	pVA1046_41	1.0
pIH290_0.3	pVA1046_46	1.0
pIH290_0.3	pVA1046_5	1.0
pIH290_0.3	pVA1101_139	1.0
pIH290_0.3	pVA1101_21	1.0
pIH290_0.3	pVA1101_2	1.0
pIH290_0.3	pVA1101_40	1.0
pIH290_0.3	pVA1101_4	1.0
pIH290_0.3	pVA1101_5	1.0
pIH290_0.3	pVA1184_286	0.0
pIH290_0.3	pVA1184_82	1.0
pIH290_0.3	pVA1393_45	1.0
pIH290_0.3	pVA1393_58	0.0
pIH290_0.3	pVA1393_9	1.0
pIH290_0.3	pVA1505_2	1.0
pIH290_0.3	pVA1505_371	1.0
pIH290_0.3	pVA1505_46	1.0
pIH290_0.3	pVA1505_61	0.0
pIH290_0.3	pVA1565_200	0.0
pIH290_0.3	pVA1565_35	1.0
pIH290_0.3	pVA1565_46	1.0
pIH290_0.3	pVA1565_5	1.0
pIH290_0.3	pVA1626_171	1.0
pIH290_0.3	pVA1626_271	1.0
pIH290_0.3	pVA1626_2	1.0
pIH290_0.3	pVA1626_45	1.0
pIH290_0.3	pVA1626_4	1.0
pIH290_0.3	pVA1626_57	0.0
pIH290_0.3	pVA1626_87	0.0
pIH290_0.3	pVA1686_122	1.0
pIH290_0.3	pVA1686_2	1.0
pIH290_0.3	pVA1686_54	1.0
pIH290_0.3	pVA1686_57	0.0
pIH290_0.3	pVA1722_375	1.0
pIH290_0.3	pVA1722_46	1.0
pIH290_0.3	pVA1722_58	0.0
pIH290_0.3	pVA1788_21	1.0
pIH290_0.3	pVA1788_53	0.0
pIH290_0.3	pVA1788_57	1.0
pIH290_0.3	pVA1825_122	1.0
pIH290_0.3	pVA1825_2	1.0
pIH290_0.3	pVA1825_54	1.0
pIH290_0.3	pVA1825_57	0.0
pIH290_0.3	pVA1835_14	1.0
pIH290_0.3	pVA1835_189	1.0
pIH290_0.3	pVA1835_363	1.0
pIH290_0.3	pVA1835_4	1.0
pIH290_0.3	pVA1835_58_A	1.0
pIH290_0.3	pVA1835_58_B	0.0
pIH290_0.3	pVA1835_6	1.0
pIH290_0.3	pVA2067_271	1.0
pIH290_0.3	pVA2067_2	1.0
pIH290_0.3	pVA2067_45	1.0
pIH290_0.3	pVA2067_4	1.0
pIH290_0.3	pVA2464_160	1.0
pIH290_0.3	pVA2464_46	1.0
pIH290_0.3	pVA2464_5	1.0
pIH290_0.3	pVA2464_7	1.0
pIH290_0.3	pVA2588_5	1.0
pIH290_0.3	pVA2588_87	0.0
pIH290_0.3	pVA2589_21	1.0
pIH290_0.3	pVA2589_86	0.0
pIH290_0.3	pVA2589_99	0.0
pIH290_0.3	pVA2682_199	0.0
pIH290_0.3	pVA2682_52	0.0
pIH290_0.3	pVA2682_9	1.0
pIH290_0.3	pVA2817_112	0.0
pIH290_0.3	pVA2817_162	1.0
pIH290_0.3	pVA2817_1	1.0
pIH290_0.3	pVA2817_210	1.0
pIH290_0.3	pVA2817_5	1.0
pIH290_0.3	pVA2817_6	1.0
pIH290_0.3	pVA3495_148	1.0
pIH290_0.3	pVA3495_29	1.0
pIH290_0.3	pVA3495_318	1.0
pIH290_0.3	pVA3495_43	0.0
pIH290_0.3	pVA3495_4	1.0
pIH290_0.3	pVA418_110	0.0
pIH290_0.3	pVA418_180	1.0
pIH290_0.3	pVA418_38	1.0
pIH290_0.3	pVA418_56	1.0
pIH290_0.3	pVA436_0.1	1.0
pIH290_0.3	pVA436_1	1.0
pIH290_0.3	pVA436_2_A	1.0
pIH290_0.3	pVA436_2_B	1.0
pIH290_0.3	pVA436_41	1.0
pIH290_0.3	pVA436_52	0.0
